Date,User_ID,Start_Timestamp,End_Timestamp,Cash spend,OS,OS_Version,Number_Of_Impression
2021-01-22,589,1611333081,1611334437,19,Android,10,5
2020-05-29,9828,1590740044,1590741128,14,Android,10,4
2020-03-14,9759,1584127677,1584128204,5,Android,8,5
2021-02-02,5950,1612255405,1612256321,2,Android,11,5
2020-09-29,2069,1601313117,1601315272,11,Android,10,4
2020-11-14,8645,1605329756,1605333284,20,iOS,12,4
2020-02-07,8627,1581084368,1581084679,14,Android,11,5
2021-07-18,4456,1626547892,1626550081,13,iOS,12,1
2020-01-16,3439,1579121590,1579122133,13,Android,9,2
2020-06-21,7831,1592731592,1592733851,11,Android,9,1
2020-11-06,8790,1604619171,1604621921,11,Android,11,1
2020-02-20,4069,1582137672,1582138665,18,Android,9,6
2020-04-22,1343,1587559505,1587562709,12,iOS,11,2
2020-06-17,8842,1592357257,1592358804,16,iOS,10,6
2021-04-17,4434,1618658794,1618659569,4,iOS,10,1
2021-03-20,9309,1616217641,1616219773,17,Android,8,6
2021-03-17,3865,1615990274,1615993080,19,iOS,12,4
2020-09-30,878,1601450620,1601451288,8,iOS,11,1
2021-03-31,4837,1617133904,1617137414,12,Android,8,2
2021-03-05,8836,1614940836,1614941478,6,Android,8,1
2020-05-21,7355,1590049937,1590051020,18,Android,11,1
2020-07-07,2643,1594060334,1594062446,8,iOS,12,1
2020-07-22,4565,1595366174,1595368499,15,iOS,11,1
2021-04-13,3677,1618297491,1618300378,1,Android,11,1
2020-03-03,8510,1583212041,1583212498,6,Android,12,4
2021-06-18,4357,1623980264,1623983134,13,Android,12,1
2020-07-23,535,1595451507,1595452724,10,Android,10,6
2021-03-16,3422,1615870870,1615873320,18,iOS,12,3
2020-01-24,1365,1579799612,1579800875,1,Android,10,4
2021-01-23,7473,1611390746,1611392773,18,Android,8,5
2020-01-20,3346,1579501626,1579503975,7,Android,8,1
2021-07-10,8758,1625909748,1625912455,11,Android,12,5
2020-10-10,4130,1602349018,1602349324,20,iOS,11,5
2020-01-24,3954,1579826113,1579828987,8,Android,10,1
2020-09-06,9644,1599341390,1599342706,2,Android,12,5
2020-07-24,5399,1595588375,1595588914,15,iOS,10,2
2021-02-09,8958,1612876283,1612878567,17,iOS,11,1
2020-01-18,3448,1579287815,1579289589,12,Android,9,2
2021-03-10,8591,1615385567,1615386087,20,iOS,10,4
2021-05-30,4896,1622315468,1622316721,1,iOS,10,2
2020-06-13,7892,1592057012,1592059317,1,iOS,12,1
2021-03-03,7085,1614735610,1614738101,15,Android,12,2
2020-02-17,4407,1581953229,1581953994,15,Android,12,4
2020-02-23,4918,1582445527,1582447901,18,iOS,12,3
2020-06-30,3183,1593453965,1593456550,13,Android,9,6
2020-09-05,2062,1599293807,1599296339,17,iOS,11,6
2021-06-12,7614,1623467709,1623470494,14,Android,9,2
2020-10-25,9363,1603610058,1603611532,6,Android,9,3
2020-03-23,3600,1584964825,1584967728,9,iOS,11,3
2020-12-05,2136,1607108416,1607112016,10,Android,12,5
2021-01-31,8959,1612051213,1612051694,15,iOS,12,6
2021-06-13,2850,1623556442,1623558678,4,iOS,11,3
2021-02-20,6954,1613823008,1613824221,17,Android,8,2
2020-10-10,841,1602311075,1602313534,11,iOS,12,6
2020-08-25,1549,1598315955,1598317647,1,iOS,10,1
2021-06-09,1199,1623216730,1623219315,9,iOS,11,5
2020-09-15,865,1600153955,1600155095,15,iOS,12,5
2020-02-18,5637,1582015353,1582015776,15,Android,11,3
2020-03-17,8278,1584461849,1584462215,6,Android,11,6
